1781371657.038,2.1480,0.8120,1.8177,1.6200
1781371657.071,2.1329,0.8638,1.8545,1.6200
1781371657.105,2.1170,0.9154,1.8696,1.5500
1781371657.138,2.0995,0.9640,1.9172,1.5500
1781371657.171,2.0802,1.0120,1.9532,1.5500
1781371657.204,2.0602,1.0596,1.9688,1.6500
1781371657.237,2.0463,1.1128,1.8258,1.6500
1781371657.271,2.0402,1.1675,1.6828,1.6500
1781371657.305,2.0419,1.2225,1.5398,1.6500
1781371657.338,2.0514,1.2766,1.3968,2.0500
1781371657.371,2.0749,1.3408,1.2192,1.0500
1781371657.405,2.1053,1.3581,0.5192,0.8600
1781371657.438,2.1302,1.3723,0.5162,0.8600
