1781371913.776,2.1481,0.8137,1.8179,1.6200
1781371913.809,2.1330,0.8656,1.8547,1.6200
1781371913.843,2.1171,0.9172,1.8698,1.5500
1781371913.876,2.0995,0.9658,1.9173,1.5500
1781371913.909,2.0802,1.0137,1.9533,1.5500
1781371913.942,2.0602,1.0613,1.9689,1.6500
1781371913.976,2.0463,1.1145,1.8259,1.6500
1781371914.010,2.0402,1.1692,1.6829,1.6500
1781371914.044,2.0419,1.2242,1.5399,1.6500
1781371914.076,2.0514,1.2784,1.3969,2.0500
1781371914.109,2.0749,1.3425,1.2192,1.0500
1781371914.143,2.1053,1.3599,0.5192,0.8600
1781371914.176,2.1302,1.3740,0.5163,0.8600
