step,x,y,yaw,speed,segment_name,lane_deviation,penalty_increment,total_penalty,raw_time,penalty_time,final_time,finished,final_forward,final_turn,residual_speed_delta,residual_steering_bias,strict_lane_correction
1,-1.0631928443908691,-0.9409525990486145,-0.5476523637771606,0.38,normal_lane_following,0.009434783230155465,0.0,,,,,False,0.38,-0.24879924033544018,-0.04,-0.035,0.0
2,-1.0522760152816772,-0.9473767876625061,-0.5318949222564697,0.44999999999999996,normal_lane_following,0.012743587256287329,0.0,,,,,False,0.44999999999999996,-0.160252264299933,0.03,0.035,0.0
3,-1.0392577648162842,-0.9548283815383911,-0.5198759436607361,0.44999999999999996,normal_lane_following,0.016832725891732386,0.0,,,,,False,0.44999999999999996,-0.22540433358973483,0.03,-0.035,0.0
4,-1.0261154174804688,-0.9620588421821594,-0.5029705166816711,0.44999999999999996,normal_lane_following,0.021161343935541557,0.0,,,,,False,0.44999999999999996,-0.15033922836706703,0.03,0.035,0.004765087318504204
5,-1.0128905773162842,-0.9691416025161743,-0.4916931986808777,0.44999999999999996,normal_lane_following,0.025652249137559712,0.0,,,,,False,0.44999999999999996,-0.20444520923409668,0.03,-0.035,0.01601949423240805
6,-0.9995603561401367,-0.9760198593139648,-0.47635939717292786,0.44999999999999996,normal_lane_following,0.030361541620586015,0.0,,,,,False,0.44999999999999996,-0.12273845007025584,0.03,0.035,0.027695847757655254
7,-0.9861673712730408,-0.9827751517295837,-0.46715351939201355,0.44999999999999996,normal_lane_following,0.03520171787988452,0.0,,,,,False,0.44999999999999996,-0.17682251595774973,0.03,-0.035,0.03994000821352364
8,-0.9726860523223877,-0.9893522262573242,-0.4538913369178772,0.44999999999999996,normal_lane_following,0.04022970963394087,3.0,,,,,False,0.44999999999999996,-0.09563247700659852,0.03,0.035,0.052524466487699754
9,-0.9591579437255859,-0.9958324432373047,-0.44671839475631714,0.44999999999999996,normal_lane_following,0.04535890493201529,0.0,,,,,False,0.44999999999999996,-0.15033370830831394,0.03,-0.035,0.06559724504824625
10,-0.9455575942993164,-1.002159595489502,-0.43544289469718933,0.44999999999999996,normal_lane_following,0.05064681769647003,0.0,,,,,False,0.44999999999999996,-0.0698347450636009,0.03,0.035,0.07893315282323976
11,-0.9319242835044861,-1.0084155797958374,-0.43020474910736084,0.44999999999999996,normal_lane_following,0.056008078590809446,0.0,,,,,False,0.44999999999999996,-0.1252893654799319,0.03,-0.035,0.09268172601082209
12,-0.9182326793670654,-1.0145431756973267,-0.4208076000213623,0.44999999999999996,normal_lane_following,0.06150082545140091,0.0,,,,,False,0.44999999999999996,-0.04559189797051359,0.03,0.035,0.10662100433610457
